OPPONENT_TEAM_ID,OPPONENT_TEAM_NAME,PERIOD,REMAIN_TIME,DIST,ANGLE,COMBINED_SHOT_TYPE_Jump Shot,COMBINED_SHOT_TYPE_Layup,COMBINED_SHOT_TYPE_Dunk,COMBINED_SHOT_TYPE_Hook Shot,COMBINED_SHOT_TYPE_Bank Shot,INTERCEPT
1610612749,MIL,-0.022281477310016243,0.026908089553379404,-0.17054557524109837,0.0005943990024529892,-0.17110214692272865,-0.025004371936936318,0.4263528949748224,-0.03870607423143286,0.054832410308047766,-0.1568221177751376
1610612750,MIN,0.007278510356423964,0.01700749902423938,-0.12138627546740925,-0.0013555044875487214,-0.2460642941090672,0.003938674007171809,0.5245239688401379,-0.02630305690355424,0.03588105508944287,-0.06880783702899251
1610612751,BKN,0.003360403454009498,0.014269333105090829,-0.1987410138264908,-0.008072952236518766,-0.1591165132737912,-0.025466592133300135,0.415981473367814,-0.03967343105882566,0.0074137069399258975,-0.11208950528916943
1610612752,NYK,-0.015115901114441256,0.024801183475062057,-0.14698333226568516,-0.008775811905894628,-0.18702320597365135,-0.007541543892498597,0.4138596941370704,-0.016178874476476937,0.03651611081005853,-0.1432166621365707
1610612753,ORL,-0.03236353573125131,0.0278491043930696,-0.19697544082814641,-0.0026792324962437303,-0.17780396245460414,-0.0024006334364425406,0.39862802844977757,-0.03874967039272989,0.04617423607237788,-0.12185026436941657
1610612754,IND,-0.03422863377540874,0.024372563427242155,-0.20233909204326272,0.013287755322981317,-0.18551629924374297,-0.023093602128449596,0.4458189239514436,-0.0214785928744799,0.03457830931978719,-0.15929815756858334
1610612755,PHI,-0.010616580478229509,0.00891238977050239,-0.17093059539043945,-0.028141636652137515,-0.2036375070752785,-0.015611719751737403,0.46883195019860446,-0.02639565406631046,0.0504437835779706,-0.14950530074313953
1610612756,PHX,-0.010622367119132621,0.021046963635051832,-0.13023804912262585,0.0057200446165257155,-0.20917871401930152,0.006686806584204674,0.46835822873554417,-0.060332345106639144,0.03009087022317907,-0.08225716351992296
1610612757,POR,-0.02207243127542251,0.045670707780847385,-0.1503222672099487,0.016606826141517796,-0.16316657369242202,-0.012543438412217674,0.3951961668260047,-0.05546370689919424,0.06390357957052907,-0.14543600408637958
1610612758,SAC,-0.02291717687101056,0.045663969256696677,-0.16576418491172412,0.0009232981749359783,-0.21646978394764155,0.032392207919927744,0.42111702153329295,-0.04898461161761962,0.042608799123840115,-0.091673568301454
1610612759,SAS,-0.007564188105273717,0.005183446621436431,-0.18725091528510324,0.022870051153503143,-0.16127526662949632,-0.031540190905265456,0.44102616884431484,-0.0545927898273716,0.017431691884086747,-0.14467903156040562
1610612760,OKC,-0.022469454269639207,0.017161559130209558,-0.15778337139058118,-0.019684873828293408,-0.18173919134447872,0.015188751823178982,0.38055242460301925,-0.04368427121111093,0.030661780632797193,-0.18445984009849423
1610612761,TOR,-0.02669209551877937,0.0483578872943699,-0.17409094279013254,0.017978019806535996,-0.16878305992522605,-0.016266779127952335,0.43652983706149767,-0.0693264130069365,0.02317083571006298,-0.1817941924276419
