PLAYER_ID,PLAYER_NAME,DIST,ANGLE,CLUSTER
1627884,Derrick Jones Jr.,-0.3214930851603948,-0.003418795023965086,0
1627885,Shaquille Harrison,-1.0322589677136371,-0.049411988117926985,4
1627936,Alex Caruso,0.2910410754535116,-0.2899421706752446,2
1628021,David Nwaba,-0.5684551826692961,-0.008772551973129185,0
1628035,Alfonzo McKinnie,-0.304750516046791,-0.09928082966382132,0
1628365,Markelle Fultz,-0.875799902480865,-0.005628291290018186,4
1628366,Lonzo Ball,-0.013835055998644485,0.004015208613578975,2
1628367,Josh Jackson,-0.5268462780071866,-0.03952991185319471,0
1628368,De'Aaron Fox,-0.5412934149671074,-0.051966652616107306,0
1628369,Jayson Tatum,-0.2200711077726748,-0.07307926955883289,0
1628370,Malik Monk,-0.31039693050854855,0.09530740498121963,0
